relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
herb_gene_jaccard,HN4319,HN5544,2892,2942,0.3142857253551483,22
herb_gene_jaccard,HN4332,HN2187,2893,2794,0.40740740299224854,44
herb_gene_jaccard,HN4332,HN6444,2893,2988,0.3644067943096161,43
herb_gene_jaccard,HN4332,HN7161,2893,3022,0.3499999940395355,42
herb_gene_jaccard,HN4332,HN4679,2893,2913,0.3087248206138611,46
herb_gene_jaccard,HN4332,HN934,2893,2739,0.3053892254829407,51
herb_gene_jaccard,HN4332,HN3437,2893,2856,0.30188679695129395,48
herb_gene_jaccard,HN4332,HN6661,2893,2998,0.2949640154838562,41
herb_gene_jaccard,HN4332,HN5568,2893,2946,0.28658536076545715,47
herb_gene_jaccard,HN4332,HN5622,2893,2950,0.2849740982055664,55
herb_gene_jaccard,HN4332,HN3285,2893,2848,0.2777777910232544,35
herb_gene_jaccard,HN4391,HN6178,2894,2977,0.3979932963848114,119
herb_gene_jaccard,HN4391,HN1874,2894,2782,0.3685636818408966,136
herb_gene_jaccard,HN4391,HN6465,2894,2990,0.3659217953681946,131
herb_gene_jaccard,HN4391,HN8630,2894,3094,0.3629976511001587,155
herb_gene_jaccard,HN4391,HN6072,2894,2969,0.3629976511001587,155
herb_gene_jaccard,HN4391,HN8087,2894,3067,0.36036035418510437,120
herb_gene_jaccard,HN4391,HN1893,2894,2783,0.3554913401603699,123
herb_gene_jaccard,HN4391,HN1519,2894,2765,0.3531157374382019,119
herb_gene_jaccard,HN4391,HN7899,2894,3060,0.3505338132381439,197
herb_gene_jaccard,HN4391,HN8843,2894,3098,0.3435114622116089,135
herb_gene_jaccard,HN4397,HN5274,2895,2932,1.0,8
herb_gene_jaccard,HN4397,HN2341,2895,2804,0.7777777910232544,7
herb_gene_jaccard,HN4397,HN7614,2895,3039,0.699999988079071,7
herb_gene_jaccard,HN4429,HN6990,2897,3008,0.6802167892456055,251
herb_gene_jaccard,HN4429,HN2935,2897,2828,0.5820895433425903,234
herb_gene_jaccard,HN4429,HN2791,2897,2821,0.5745192170143127,239
herb_gene_jaccard,HN4429,HN7142,2897,3019,0.5442359447479248,203
herb_gene_jaccard,HN4429,HN1436,2897,2763,0.48510637879371643,228
herb_gene_jaccard,HN4429,HN6326,2897,2985,0.47174447774887085,192
herb_gene_jaccard,HN4429,HN2083,2897,2791,0.47071582078933716,217
herb_gene_jaccard,HN4429,HN7018,2897,3011,0.46666666865348816,217
herb_gene_jaccard,HN4429,HN555,2897,2728,0.466042160987854,199
herb_gene_jaccard,HN4429,HN3238,2897,2846,0.4609929025173187,195
herb_gene_jaccard,HN4453,HN3240,2898,2847,0.8913043737411499,82
herb_gene_jaccard,HN4453,HN7005,2898,3009,0.7938144207000732,77
herb_gene_jaccard,HN4453,HN6862,2898,3003,0.77173912525177,71
herb_gene_jaccard,HN4453,HN3897,2898,2876,0.7099999785423279,71
herb_gene_jaccard,HN4453,HN2313,2898,2801,0.7064220309257507,77
herb_gene_jaccard,HN4453,HN53,2898,2708,0.7029703259468079,71
herb_gene_jaccard,HN4453,HN5820,2898,2959,0.698113203048706,74
herb_gene_jaccard,HN4453,HN578,2898,2729,0.6952381134033203,73
herb_gene_jaccard,HN4453,HN656,2898,2732,0.6936936974525452,77
herb_gene_jaccard,HN4453,HN2792,2898,2822,0.6695652008056641,77
herb_gene_jaccard,HN4506,HN465,2901,2723,0.8275862336158752,72
herb_gene_jaccard,HN4506,HN7385,2901,3030,0.8117647171020508,69
herb_gene_jaccard,HN4506,HN352,2901,2717,0.7647058963775635,65
herb_gene_jaccard,HN4506,HN7792,2901,3053,0.75,69
