relation,src_node_id,dst_node_id,src_node_index,dst_node_index,jaccard,shared_genes
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_3186,917,2023,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_3147,917,1997,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_1530,917,972,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_1469,917,929,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_1399,917,884,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1456,ETCM_disease_id_1397,917,882,0.4444444477558136,12
disease_gene_jaccard,ETCM_disease_id_1460,ETCM_disease_id_1466,921,926,1.0,5
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_3706,924,2341,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_3497,924,2217,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_3186,924,2023,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_3147,924,1997,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_1530,924,972,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_1469,924,929,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_1399,924,884,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1464,ETCM_disease_id_1397,924,882,0.7058823704719543,12
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_3250,925,2063,0.625,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_3706,925,2341,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_3497,925,2217,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_3186,925,2023,0.4166666567325592,5
disease_gene_jaccard,ETCM_disease_id_1465,ETCM_disease_id_3147,925,1997,0.4166666567325592,5
