id,name,source
ETCM_XHCF_144,Nonyl Cyclopropane,existing
ETCM_XHCF_145,Octadecanol,existing
ETCM_XHCF_146,9(Z)-Octadecen-1-Ol,existing
ETCM_XHCF_147,(+)-Oxypeucedanin,existing
ETCM_XHCF_148,Oxypeucedanin Methanolate,existing
ETCM_XHCF_149,Pabulenol,existing
ETCM_XHCF_150,1-Pentadecene,existing
ETCM_XHCF_151,Î’-Phellandrene,existing
ETCM_XHCF_152,Sen-Byakangelicol,existing
ETCM_XHCF_153,1-Tetradecanol,existing
ETCM_XHCF_154,1-Tetradecene,existing
ETCM_XHCF_155,Tridecanoic Acid,existing
ETCM_XHCF_156,Undecene,existing
ETCM_XHCF_157,10-Undecenoic Acid,existing
ETCM_XHCF_158,"Acetic Acid,Propionic Acid",existing
ETCM_XHCF_159,Stemonidine,existing
ETCM_XHCF_160,Isostemonamine,existing
ETCM_XHCF_161,Oxotuberostemonine,existing
ETCM_XHCF_162,Stemofoline,existing
ETCM_XHCF_163,Stemofoline,existing
ETCM_XHCF_164,Hordenine,existing
ETCM_XHCF_165,Didehydrotuberostemonine,existing
ETCM_XHCF_166,Epi-Bisdehydrotuberostemonine J,existing
ETCM_XHCF_167,Isostemotinine,existing
ETCM_XHCF_168,Isotuberostemonine,existing
ETCM_XHCF_169,Malic Acid,existing
ETCM_XHCF_170,Neostenine,existing
ETCM_XHCF_171,Neotuberostemonine,existing
ETCM_XHCF_172,Oxotuberostemonine,existing
ETCM_XHCF_173,Oxotuberostemonine Ii,existing
ETCM_XHCF_174,Stemonine,existing
ETCM_XHCF_175,Stemotinine,existing
ETCM_XHCF_176,Stenine,existing
ETCM_XHCF_177,Tuberostemoenone,existing
ETCM_XHCF_178,Tuberostemonine,existing
ETCM_XHCF_179,Tuberostemonine H,existing
ETCM_XHCF_180,Tuberostemonine J,existing
ETCM_XHCF_181,Tuberostemonol,existing
ETCM_XHCF_182,Tuberostemonone,existing
ETCM_XHCF_183,Tuberostemospironine,existing
ETCM_XHCF_184,Dihydropinosylvin,existing
ETCM_XHCF_185,4'-Methylpinosylvin,existing
ETCM_XHCF_186,Pinosylvin,existing
ETCM_XHCF_187,Protostemonine,existing
ETCM_XHCF_188,Stemanthrene A,existing
ETCM_XHCF_189,Stemanthrene B,existing
ETCM_XHCF_190,Stemanthrene C,existing
ETCM_XHCF_191,Stemanthrene D,existing
ETCM_XHCF_192,Stilbostemin B,existing
ETCM_XHCF_193,Stilbostemin D,existing
ETCM_XHCF_194,Stilbostemin E,existing
ETCM_XHCF_195,Stilbostemin G,existing
ETCM_XHCF_196,Dehydroprotostemonine,existing
ETCM_XHCF_197,2'-Hydroxystemofoline,existing
ETCM_XHCF_198,Oxyprotostemonine,existing
ETCM_XHCF_199,Oxystemokerrin,existing
ETCM_XHCF_200,Oxystemokerrin-N-Oxide,existing
ETCM_XHCF_201,Stemocochinin,existing
ETCM_XHCF_202,Parvistemonine,existing
ETCM_XHCF_203,Pyridostemin,existing
ETCM_XHCF_204,Lilioside C,existing
ETCM_XHCF_205,Regaloside A,existing
ETCM_XHCF_206,Regaloside A,existing
ETCM_XHCF_207,Brownioside,existing
ETCM_XHCF_208,Colchicine,existing
ETCM_XHCF_209,Emodin,existing
ETCM_XHCF_210,"26-O-Î’-D-Glucopyranosyl-3Î’,26-Dihydroxy-Î”5-Choleslen-16,22-Dioxo-3-O-Î‘-L-Rhamnopyranosyl-(1â†’2)-Î’-D-Glucopyranoside",existing
ETCM_XHCF_211,Neohyacinthoside,existing
ETCM_XHCF_212,Regaloside D,existing
ETCM_XHCF_213,Solasodine 3-O-Î‘-L-Rhamnopyranosyl (1â†’2)-O-[Î’-D-Glucopyranosyl (1â†’4)]-Î’-D-Glucopyranoside,existing
ETCM_XHCF_214,Cyanidin-3-O-Î’-Rutinoside-7-O-Î’-Glucoside,existing
