id,name
ETCM_Target_Genes_id_191,CA2
ETCM_Target_Genes_id_198,CA12
ETCM_Target_Genes_id_204,CACNA1S
ETCM_Target_Genes_id_215,CALCA
ETCM_Target_Genes_id_216,CALM1
ETCM_Target_Genes_id_221,CAMK2G
ETCM_Target_Genes_id_224,CAPN1
ETCM_Target_Genes_id_226,CASP1
ETCM_Target_Genes_id_227,CASP3
ETCM_Target_Genes_id_230,CAT
ETCM_Target_Genes_id_231,SERPINA6
ETCM_Target_Genes_id_232,CBR1
ETCM_Target_Genes_id_236,CCKBR
ETCM_Target_Genes_id_237,CCNA2
ETCM_Target_Genes_id_240,SCARB1
ETCM_Target_Genes_id_246,CDK2
ETCM_Target_Genes_id_247,CDK4
ETCM_Target_Genes_id_255,CEL
ETCM_Target_Genes_id_256,CES1
ETCM_Target_Genes_id_257,CFTR
ETCM_Target_Genes_id_258,CHAT
ETCM_Target_Genes_id_265,CHRM1
ETCM_Target_Genes_id_266,CHRM2
ETCM_Target_Genes_id_267,CHRM3
ETCM_Target_Genes_id_268,CHRM4
ETCM_Target_Genes_id_272,CHRNA3
ETCM_Target_Genes_id_273,CHRNA4
ETCM_Target_Genes_id_274,CHRNA5
ETCM_Target_Genes_id_275,CHRNA7
ETCM_Target_Genes_id_279,CHRNB4
ETCM_Target_Genes_id_290,CLPS
ETCM_Target_Genes_id_292,CCR5
ETCM_Target_Genes_id_295,CNR1
ETCM_Target_Genes_id_296,CNR2
ETCM_Target_Genes_id_298,COMT
ETCM_Target_Genes_id_318,CREB1
ETCM_Target_Genes_id_321,CRH
ETCM_Target_Genes_id_322,CRP
ETCM_Target_Genes_id_334,CTBP1
ETCM_Target_Genes_id_348,CYP1A1
ETCM_Target_Genes_id_349,CYP1A2
ETCM_Target_Genes_id_350,CYP1B1
ETCM_Target_Genes_id_351,CYP2A6
ETCM_Target_Genes_id_352,CYP3A7
ETCM_Target_Genes_id_354,CYP2B6
ETCM_Target_Genes_id_357,CYP2C9
ETCM_Target_Genes_id_360,CYP2E1
ETCM_Target_Genes_id_362,CYP3A4
ETCM_Target_Genes_id_363,CYP3A5
ETCM_Target_Genes_id_364,CYP4A11
ETCM_Target_Genes_id_369,CYP17A1
ETCM_Target_Genes_id_370,CYP19A1
ETCM_Target_Genes_id_376,CYP51A1
ETCM_Target_Genes_id_379,DAO
ETCM_Target_Genes_id_384,DBI
ETCM_Target_Genes_id_390,DDC
ETCM_Target_Genes_id_391,AKR1C1
ETCM_Target_Genes_id_392,AKR1C2
ETCM_Target_Genes_id_394,DECR1
ETCM_Target_Genes_id_397,DHCR7
ETCM_Target_Genes_id_402,NQO1
ETCM_Target_Genes_id_406,DMPK
ETCM_Target_Genes_id_412,DPYD
ETCM_Target_Genes_id_414,DRD2
ETCM_Target_Genes_id_415,DRD3
ETCM_Target_Genes_id_416,DRD4
ETCM_Target_Genes_id_421,ECE1
ETCM_Target_Genes_id_425,EDNRA
ETCM_Target_Genes_id_438,ENO2
ETCM_Target_Genes_id_448,ERBB2
ETCM_Target_Genes_id_452,ESR1
ETCM_Target_Genes_id_453,ESR2
ETCM_Target_Genes_id_459,F2
ETCM_Target_Genes_id_460,F3
ETCM_Target_Genes_id_478,FAH
ETCM_Target_Genes_id_486,FDPS
ETCM_Target_Genes_id_505,FMO1
ETCM_Target_Genes_id_506,FMO3
ETCM_Target_Genes_id_509,FOLH1
ETCM_Target_Genes_id_513,FOS
ETCM_Target_Genes_id_515,FPR1
ETCM_Target_Genes_id_518,NR5A1
ETCM_Target_Genes_id_520,G6PD
ETCM_Target_Genes_id_522,GABBR1
ETCM_Target_Genes_id_523,GABRA1
ETCM_Target_Genes_id_524,GABRA2
ETCM_Target_Genes_id_525,GABRA3
ETCM_Target_Genes_id_526,GABRA4
ETCM_Target_Genes_id_527,GABRA5
ETCM_Target_Genes_id_528,GABRA6
ETCM_Target_Genes_id_529,GABRB1
ETCM_Target_Genes_id_530,GABRB2
ETCM_Target_Genes_id_531,GABRB3
ETCM_Target_Genes_id_532,GABRD
ETCM_Target_Genes_id_533,GABRE
ETCM_Target_Genes_id_534,GABRG1
ETCM_Target_Genes_id_535,GABRG2
ETCM_Target_Genes_id_536,GABRG3
ETCM_Target_Genes_id_537,GABRP
ETCM_Target_Genes_id_538,GABRR1
ETCM_Target_Genes_id_539,GABRR2
ETCM_Target_Genes_id_540,GAD1
ETCM_Target_Genes_id_541,GAD2
ETCM_Target_Genes_id_543,GALK1
ETCM_Target_Genes_id_548,GARS
ETCM_Target_Genes_id_550,GATM
ETCM_Target_Genes_id_558,GFER
ETCM_Target_Genes_id_560,GGT1
ETCM_Target_Genes_id_567,GLO1
ETCM_Target_Genes_id_569,GLRA2
ETCM_Target_Genes_id_570,GLRB
ETCM_Target_Genes_id_571,GLS
ETCM_Target_Genes_id_575,GLUL
ETCM_Target_Genes_id_579,GNAI1
ETCM_Target_Genes_id_588,GPR18
ETCM_Target_Genes_id_589,MCHR1
ETCM_Target_Genes_id_600,GRIA1
ETCM_Target_Genes_id_601,GRIA2
ETCM_Target_Genes_id_603,GRIA4
ETCM_Target_Genes_id_606,GRIK1
ETCM_Target_Genes_id_608,GRIK3
ETCM_Target_Genes_id_612,GRIN2A
ETCM_Target_Genes_id_613,GRIN2B
ETCM_Target_Genes_id_614,GRIN2C
ETCM_Target_Genes_id_616,NR3C1
ETCM_Target_Genes_id_617,GRM1
ETCM_Target_Genes_id_618,GRM4
ETCM_Target_Genes_id_619,GRM5
ETCM_Target_Genes_id_620,GRM7
ETCM_Target_Genes_id_622,GSK3B
ETCM_Target_Genes_id_627,GSTA1
ETCM_Target_Genes_id_628,GSTA2
ETCM_Target_Genes_id_629,GSTA3
ETCM_Target_Genes_id_630,GSTA4
ETCM_Target_Genes_id_631,GSTM1
ETCM_Target_Genes_id_643,HSD17B10
ETCM_Target_Genes_id_644,HAGH
ETCM_Target_Genes_id_645,HADHA
ETCM_Target_Genes_id_646,HADH
ETCM_Target_Genes_id_649,HBA1
ETCM_Target_Genes_id_650,HBB
ETCM_Target_Genes_id_653,HCRT
ETCM_Target_Genes_id_654,HDAC1
ETCM_Target_Genes_id_656,HDC
ETCM_Target_Genes_id_658,HGF
ETCM_Target_Genes_id_667,HMGCR
ETCM_Target_Genes_id_668,HMGCS1
ETCM_Target_Genes_id_669,HMOX1
ETCM_Target_Genes_id_679,HPRT1
ETCM_Target_Genes_id_684,HSD3B1
ETCM_Target_Genes_id_686,HSD11B1
ETCM_Target_Genes_id_687,HSD11B2
ETCM_Target_Genes_id_689,HSD17B3
ETCM_Target_Genes_id_690,HSD17B2
ETCM_Target_Genes_id_692,HSPA2
ETCM_Target_Genes_id_693,HSPA5
ETCM_Target_Genes_id_694,HSPA8
ETCM_Target_Genes_id_698,HTR1A
ETCM_Target_Genes_id_699,HTR1B
ETCM_Target_Genes_id_700,HTR1D
ETCM_Target_Genes_id_701,HTR1E
ETCM_Target_Genes_id_702,HTR2A
ETCM_Target_Genes_id_703,HTR2B
ETCM_Target_Genes_id_704,HTR2C
ETCM_Target_Genes_id_705,HTR3A
ETCM_Target_Genes_id_707,HTR6
ETCM_Target_Genes_id_717,IGF1
ETCM_Target_Genes_id_719,IGF2R
ETCM_Target_Genes_id_720,IGFBP3
ETCM_Target_Genes_id_725,IL2
ETCM_Target_Genes_id_727,IL5
ETCM_Target_Genes_id_728,CXCR1
ETCM_Target_Genes_id_736,CXCL10
ETCM_Target_Genes_id_737,INS
