id,name
HN5069,地骨皮
HN5105,徐长卿
HN5109,枸骨叶
HN5126,紫苏梗
HN5138,桑枝
HN5162,钩藤
HN5209,龙眼肉
HN5274,独一味
HN5301,马钱子
HN5331,锁阳
HN5338,芡实
HN5365,高良姜
HN5411,岩白菜
HN5454,藁本
HN5471,荆芥
HN5505,紫菀
HN5530,牡丹皮
HN5544,野木瓜
HN5554,威灵仙
HN5565,黄芩
HN5566,枳实
HN5568,冰片
HN5591,菝葜
HN5612,骨碎补
HN5614,延胡索
HN5622,莪术
HN5652,佛手
HN5658,合欢皮
HN5698,海风藤
HN5705,海藻
HN5742,知母
HN5749,黄连
HN5775,丁香
HN5813,槐角
HN5820,木瓜
HN5833,瓜蒌
HN5885,独活
HN5993,广藿香
HN6002,石斛
HN6008,辛夷
HN6009,淫羊藿
HN6041,蓖麻子
HN6050,猪牙皂
HN6068,蒲公英
HN6072,白芍
HN6079,当归
HN6088,昆布
HN6096,石菖蒲
HN6123,药王茶
HN6143,胡黄连
HN6164,血竭
HN6173,莲子
HN6178,白扁豆
HN6198,天仙子
HN6201,泽泻
HN6218,茜草
HN6241,桂枝
HN6299,冰片
HN6313,苏木
HN6323,丹参
HN6326,马鞭草
HN6402,金钱草
HN6435,卷柏
HN6444,甘松
HN6464,肉苁蓉
HN6465,羌活
HN6467,红参
HN6476,穿心莲
HN6536,南鹤虱
HN6558,平贝母
HN6607,郁李仁
HN6640,皂角刺
HN6646,青蒿
HN6661,陈皮
HN6673,白及
HN6752,苦杏仁
HN6831,黄柏
HN6853,麻黄根
HN6862,连钱草
HN6899,远志
HN6909,天花粉
HN6918,垂盆草
HN6952,没药
HN6990,苍术
HN7005,木鳖子
HN7011,山豆根
HN7018,大青叶
HN7032,杜仲
HN7053,太子参
HN7066,水飞蓟
HN7077,朱砂根
HN7079,常山
HN7102,当药
HN7113,五加皮
HN7142,地黄
HN7147,马兜铃
HN7154,漏芦
HN7161,蜘蛛香
HN7180,槲寄生
HN7192,野菊花
HN7196,白蔹
HN7213,白术
HN7253,穿山龙
HN7256,石韦
HN7288,桃枝
HN7385,救必应
HN7424,夏天无
HN7434,两面针
HN7464,桑寄生
HN7500,肉桂
HN7531,紫苏叶
HN7587,莱菔子
HN7588,枸杞子
HN7611,胖大海
HN7614,老鹳草
HN7617,山药
HN7629,川乌
HN7636,三棱
HN7653,金果榄
HN7658,南五味子
HN7660,亚麻子
HN7692,竹根七
HN7698,山茱萸
HN7712,珠子参
HN7741,百部
HN7742,黄蜀葵花
HN7757,络石藤
HN7764,紫苏子
