:START_ID,:END_ID
19759,ETCM_Target_Genes_id_2012
2255,ETCM_Target_Genes_id_2035
15394,ETCM_Target_Genes_id_1284
2626,ETCM_Target_Genes_id_1292
5077,ETCM_Target_Genes_id_1293
13172,ETCM_Target_Genes_id_1294
20314,ETCM_Target_Genes_id_1286
16916,ETCM_Target_Genes_id_1287
19294,ETCM_Target_Genes_id_1288
3231,ETCM_Target_Genes_id_1295
9223,ETCM_Target_Genes_id_1725
14,ETCM_Target_Genes_id_1966
6310,ETCM_Target_Genes_id_1297
4262,ETCM_Target_Genes_id_1316
18432,ETCM_Target_Genes_id_1649
13177,ETCM_Target_Genes_id_1692
21057,ETCM_Target_Genes_id_1322
21057,ETCM_Target_Genes_id_1828
10843,ETCM_Target_Genes_id_1333
19978,ETCM_Target_Genes_id_1646
3290,ETCM_Target_Genes_id_1335
7617,ETCM_Target_Genes_id_1337
8562,ETCM_Target_Genes_id_1344
4790,ETCM_Target_Genes_id_1345
8713,ETCM_Target_Genes_id_1346
7500,ETCM_Target_Genes_id_1348
18609,ETCM_Target_Genes_id_130
14720,ETCM_Target_Genes_id_1351
9772,ETCM_Target_Genes_id_1358
12153,ETCM_Target_Genes_id_1357
10808,ETCM_Target_Genes_id_1594
20925,ETCM_Target_Genes_id_1361
10843,ETCM_Target_Genes_id_1363
16305,ETCM_Target_Genes_id_1377
11676,ETCM_Target_Genes_id_1379
15755,ETCM_Target_Genes_id_1387
5290,ETCM_Target_Genes_id_1402
18500,ETCM_Target_Genes_id_1403
14880,ETCM_Target_Genes_id_1404
2290,ETCM_Target_Genes_id_1405
5657,ETCM_Target_Genes_id_1539
17827,ETCM_Target_Genes_id_1840
20219,ETCM_Target_Genes_id_1927
852,ETCM_Target_Genes_id_186
9234,ETCM_Target_Genes_id_1426
18659,ETCM_Target_Genes_id_1832
9630,ETCM_Target_Genes_id_1433
11149,ETCM_Target_Genes_id_1434
19809,ETCM_Target_Genes_id_1454
15434,ETCM_Target_Genes_id_1457
7989,ETCM_Target_Genes_id_110
19701,ETCM_Target_Genes_id_1488
7804,ETCM_Target_Genes_id_257
19128,ETCM_Target_Genes_id_5
7027,ETCM_Target_Genes_id_874
18025,ETCM_Target_Genes_id_11
9592,ETCM_Target_Genes_id_34
8731,ETCM_Target_Genes_id_35
8731,ETCM_Target_Genes_id_36
2986,ETCM_Target_Genes_id_45
20938,ETCM_Target_Genes_id_51
16803,ETCM_Target_Genes_id_52
11313,ETCM_Target_Genes_id_391
19065,ETCM_Target_Genes_id_1497
6466,ETCM_Target_Genes_id_88
8523,ETCM_Target_Genes_id_112
12752,ETCM_Target_Genes_id_133
12752,ETCM_Target_Genes_id_133
10046,ETCM_Target_Genes_id_175
10991,ETCM_Target_Genes_id_216
21025,ETCM_Target_Genes_id_216
7059,ETCM_Target_Genes_id_1252
9873,ETCM_Target_Genes_id_256
2799,ETCM_Target_Genes_id_296
10251,ETCM_Target_Genes_id_351
11918,ETCM_Target_Genes_id_354
1445,ETCM_Target_Genes_id_412
9272,ETCM_Target_Genes_id_522
2717,ETCM_Target_Genes_id_527
10718,ETCM_Target_Genes_id_532
1787,ETCM_Target_Genes_id_1869
8309,ETCM_Target_Genes_id_612
14197,ETCM_Target_Genes_id_613
2447,ETCM_Target_Genes_id_1987
18837,ETCM_Target_Genes_id_620
17481,ETCM_Target_Genes_id_627
16959,ETCM_Target_Genes_id_628
6075,ETCM_Target_Genes_id_649
6075,ETCM_Target_Genes_id_2236
18120,ETCM_Target_Genes_id_650
1409,ETCM_Target_Genes_id_2047
15116,ETCM_Target_Genes_id_1786
1158,ETCM_Target_Genes_id_684
18364,ETCM_Target_Genes_id_719
6427,ETCM_Target_Genes_id_737
19546,ETCM_Target_Genes_id_2240
18660,ETCM_Target_Genes_id_822
1802,ETCM_Target_Genes_id_834
7978,ETCM_Target_Genes_id_839
17057,ETCM_Target_Genes_id_843
10772,ETCM_Target_Genes_id_857
7456,ETCM_Target_Genes_id_861
7245,ETCM_Target_Genes_id_928
20083,ETCM_Target_Genes_id_947
3653,ETCM_Target_Genes_id_959
296,ETCM_Target_Genes_id_1041
16923,ETCM_Target_Genes_id_1043
10995,ETCM_Target_Genes_id_1479
2427,ETCM_Target_Genes_id_943
8789,ETCM_Target_Genes_id_1067
11229,ETCM_Target_Genes_id_1078
728,ETCM_Target_Genes_id_1120
3390,ETCM_Target_Genes_id_1121
2387,ETCM_Target_Genes_id_2113
8259,ETCM_Target_Genes_id_1167
17057,ETCM_Target_Genes_id_1167
14387,ETCM_Target_Genes_id_1245
12241,ETCM_Target_Genes_id_979
17253,ETCM_Target_Genes_id_231
15802,ETCM_Target_Genes_id_2183
1732,ETCM_Target_Genes_id_2183
15278,ETCM_Target_Genes_id_1347
17087,ETCM_Target_Genes_id_1354
8466,ETCM_Target_Genes_id_1355
12537,ETCM_Target_Genes_id_1355
15864,ETCM_Target_Genes_id_1365
17088,ETCM_Target_Genes_id_1367
18412,ETCM_Target_Genes_id_1634
18659,ETCM_Target_Genes_id_1836
4663,ETCM_Target_Genes_id_1836
21150,ETCM_Target_Genes_id_1829
21263,ETCM_Target_Genes_id_1837
8455,ETCM_Target_Genes_id_1837
4663,ETCM_Target_Genes_id_1835
9207,ETCM_Target_Genes_id_1835
14660,ETCM_Target_Genes_id_1831
12638,ETCM_Target_Genes_id_1830
15414,ETCM_Target_Genes_id_1834
11503,ETCM_Target_Genes_id_1435
18364,ETCM_Target_Genes_id_719
