my_name,match_name,kdhr_id
海藻,海藻,HN5705
诃子,诃子,HN8976
合欢花,合欢花,HN2341
合欢皮,合欢皮,HN5658
何首乌,何首乌,HN226
荷叶,荷叶,HN1104
黑豆,黑豆,HN1677
黑芝麻,黑芝麻,HN1780
黑种草子,黑种草子,HN185
红参,红参,HN6467
红花,红花,HN3586
红景天,红景天,HN2900
厚朴,厚朴,HN4701
胡黄连,胡黄连,HN6143
胡椒,胡椒,HN1663
胡芦巴,胡芦巴,HN1565
槲寄生,槲寄生,HN7180
虎杖,虎杖,HN2867
花椒,花椒,HN2552
化橘红,化橘红,HN3786
槐花,槐花,HN1697
槐角,槐角,HN5813
黄柏,黄柏,HN6831
黄精,黄精,HN7895
黄连,黄连,HN5749
黄芪,黄芪,HN8079
黄芩,黄芩,HN5565
黄山药,黄山药,HN8460
黄蜀葵花,黄蜀葵花,HN7742
火麻仁,火麻仁,HN889
鸡骨草,鸡骨草,HN4506
鸡冠花,鸡冠花,HN412
鸡血藤,鸡血藤,HN7865
积雪草,积雪草,HN8338
急性子,急性子,HN3077
蒺藜,蒺藜,HN3564
姜黄,姜黄,HN1693
降香,降香,HN3780
焦栀子,焦栀子,HN3938
芥子,芥子,HN1009
金沸草,金沸草,HN3945
金果榄,金果榄,HN7653
金钱草,金钱草,HN6402
金铁锁,金铁锁,HN1426
金银花,金银花,HN3661
金樱子,金樱子,HN3193
筋骨草,筋骨草,HN353
荆芥,荆芥,HN5471
九里香,九里香,HN1739
韭菜子,韭菜子,HN2081
救必应,救必应,HN7385
桔梗,桔梗,HN465
菊花,菊花,HN699
菊苣,菊苣,HN2634
橘核,橘核,HN7884
卷柏,卷柏,HN6435
决明子,决明子,HN8463
榼藤子,榼藤子,HN4565
苦参,苦参,HN9011
苦地丁,苦地丁,HN4182
苦楝皮,苦楝皮,HN3348
苦木,苦木,HN1380
苦杏仁,苦杏仁,HN6752
苦玄参,苦玄参,HN8297
款冬花,款冬花,HN1692
昆布,昆布,HN6088
辣椒,辣椒,HN2506
莱菔子,莱菔子,HN7587
狼毒,狼毒,HN4075
老鹳草,老鹳草,HN7614
雷公藤,雷公藤,HN4990
连钱草,连钱草,HN6862
连翘,连翘,HN4147
莲子,莲子,HN6173
莲子心,莲子心,HN8523
两面针,两面针,HN7434
蓼大青叶,蓼大青叶,HN4241
灵芝,灵芝,HN392
龙胆,龙胆,HN4875
龙葵,龙葵,HN8925
龙眼肉,龙眼肉,HN5209
漏芦,漏芦,HN7154
芦根,芦根,HN1392
芦荟,芦荟,HN2714
鹿衔草,鹿衔草,HN3531
路路通,路路通,HN3133
罗布麻叶,罗布麻叶,HN4512
罗汉果,罗汉果,HN1874
络石藤,络石藤,HN7757
麻黄,麻黄,HN657
麻黄根,麻黄根,HN6853
马鞭草,马鞭草,HN6326
马齿苋,马齿苋,HN8270
马兜铃,马兜铃,HN7147
马钱子,马钱子,HN5301
麦冬,麦冬,HN555
麦芽,麦芽,HN8140
满山红,满山红,HN4648
蔓荆子,蔓荆子,HN4991
没药,没药,HN6952
玫瑰花,玫瑰花,HN2830
密蒙花,密蒙花,HN8855
绵萆薢,绵萆薢,HN4319
明党参,明党参,HN3931
墨旱莲,墨旱莲,HN2543
牡丹皮,牡丹皮,HN5530
牡荆叶,牡荆叶,HN3968
木鳖子,木鳖子,HN7005
木瓜,木瓜,HN5820
木蝴蝶,木蝴蝶,HN7896
木通,木通,HN2792
木香,木香,HN2154
木贼,木贼,HN1322
南鹤虱,南鹤虱,HN6536
南五味子,南五味子,HN7658
闹羊花,闹羊花,HN4667
牛蒡子,牛蒡子,HN4501
牛膝,牛膝,HN9134
女贞子,女贞子,HN8142
藕节,藕节,HN8564
胖大海,胖大海,HN7611
佩兰,佩兰,HN2062
枇杷叶,枇杷叶,HN8638
偏头七,偏头七,HN2743
平贝母,平贝母,HN6558
蒲公英,蒲公英,HN6068
蒲黄,蒲黄,HN3383
千金子,千金子,HN2342
千里光,千里光,HN4301
牵牛子,牵牛子,HN5056
前胡,前胡,HN4668
芡实,芡实,HN5338
茜草,茜草,HN6218
羌活,羌活,HN6465
秦艽,秦艽,HN8341
青风藤,青风藤,HN2151
青果,青果,HN334
青蒿,青蒿,HN6646
青皮,青皮,HN8867
青葙子,青葙子,HN30
青叶胆,青叶胆,HN3897
拳参,拳参,HN1599
人参,人参,HN1418
人参叶,人参叶,HN3769
忍冬藤,忍冬藤,HN2874
肉苁蓉,肉苁蓉,HN6464
肉豆蔻,肉豆蔻,HN4913
肉桂,肉桂,HN7500
乳香,乳香,HN2313
三白草,三白草,HN8503
三颗针,三颗针,HN4562
三棱,三棱,HN7636
三七,三七,HN2191
桑白皮,桑白皮,HN7973
桑寄生,桑寄生,HN7464
桑叶,桑叶,HN7899
桑枝,桑枝,HN5138
砂仁,砂仁,HN2187
山慈菇,山慈菇,HN4828
山豆根,山豆根,HN7011
山柰,山柰,HN934
山药,山药,HN7617
山楂,山楂,HN3191
山茱萸,山茱萸,HN7698
商陆,商陆,HN33
